respondent_id,city,age_group,order_frequency_per_week,avg_spend_inr,cuisine_preference,order_time,uses_subscription,prefers_veg,orders_via
1,Bengaluru,25-34,4,308,South Indian,Breakfast,0,1,Swiggy
2,Bengaluru,25-34,4,449,North Indian,Breakfast,0,1,Zomato
3,Bengaluru,25-34,3,300,South Indian,Dinner,0,0,Swiggy
4,Bengaluru,35-44,4,452,Chinese,Lunch,0,0,Direct App
5,Bengaluru,18-24,4,297,South Indian,Lunch,0,0,Swiggy
6,Bengaluru,35-44,2,335,Continental,Dinner,0,0,Direct App
7,Bengaluru,25-34,4,157,North Indian,Dinner,0,0,Swiggy
8,Bengaluru,35-44,1,326,South Indian,Late Night,0,1,Zomato
9,Bengaluru,25-34,2,346,South Indian,Lunch,1,1,Zomato
10,Bengaluru,25-34,3,199,Chinese,Lunch,0,1,Zomato
11,Bengaluru,25-34,5,300,Fast Food,Late Night,0,0,Direct App
12,Bengaluru,25-34,4,198,Healthy,Breakfast,0,1,Zomato
13,Bengaluru,25-34,3,329,Healthy,Dinner,0,0,Zomato
14,Bengaluru,35-44,1,415,Fast Food,Dinner,0,0,Direct App
15,Bengaluru,18-24,3,231,Chinese,Late Night,0,0,Swiggy
16,Bengaluru,18-24,3,248,Fast Food,Lunch,0,0,WhatsApp
17,Bengaluru,25-34,3,319,Healthy,Late Night,0,1,Direct App
18,Bengaluru,35-44,2,416,South Indian,Lunch,0,0,Direct App
19,Bengaluru,45-54,0,540,Chinese,Dinner,0,1,Zomato
20,Bengaluru,18-24,6,343,Chinese,Dinner,1,0,Swiggy
21,Bengaluru,25-34,4,394,North Indian,Dinner,0,1,Direct App
22,Bengaluru,18-24,3,149,Chinese,Lunch,0,1,Swiggy
23,Bengaluru,45-54,2,360,North Indian,Dinner,0,1,Zomato
24,Bengaluru,18-24,3,188,Chinese,Late Night,0,0,Zomato
25,Bengaluru,25-34,4,287,Fast Food,Dinner,0,1,WhatsApp
26,Bengaluru,18-24,3,302,South Indian,Lunch,0,0,Zomato
27,Bengaluru,18-24,5,325,North Indian,Dinner,0,0,Direct App
28,Bengaluru,18-24,3,238,Fast Food,Lunch,0,0,WhatsApp
29,Bengaluru,18-24,4,328,South Indian,Dinner,0,1,Direct App
30,Bengaluru,25-34,3,304,Fast Food,Dinner,0,1,Swiggy
31,Bengaluru,18-24,3,176,Healthy,Dinner,0,0,WhatsApp
32,Bengaluru,18-24,5,354,Chinese,Lunch,1,0,Swiggy
33,Bengaluru,18-24,4,300,Healthy,Late Night,1,1,Zomato
34,Bengaluru,18-24,5,315,North Indian,Dinner,0,0,WhatsApp
35,Bengaluru,18-24,5,283,Continental,Dinner,1,0,WhatsApp
36,Bengaluru,18-24,6,195,Continental,Lunch,0,0,Direct App
37,Bengaluru,18-24,4,255,Chinese,Dinner,1,0,Swiggy
38,Bengaluru,35-44,1,479,North Indian,Breakfast,1,0,Zomato
39,Bengaluru,25-34,4,321,North Indian,Breakfast,0,0,Direct App
40,Bengaluru,45-54,1,255,Fast Food,Lunch,0,0,Direct App
41,Bengaluru,25-34,3,383,Continental,Late Night,0,1,Swiggy
42,Bengaluru,18-24,4,230,South Indian,Lunch,1,1,Zomato
43,Bengaluru,25-34,4,418,Healthy,Lunch,1,1,Swiggy
44,Bengaluru,25-34,4,346,Continental,Dinner,0,1,Direct App
45,Bengaluru,18-24,5,272,Chinese,Lunch,0,1,Direct App
46,Bengaluru,18-24,4,307,South Indian,Dinner,0,1,Swiggy
47,Bengaluru,18-24,4,234,South Indian,Dinner,0,1,Direct App
48,Bengaluru,18-24,5,239,Fast Food,Dinner,0,0,Zomato
49,Bengaluru,25-34,2,349,Chinese,Late Night,0,0,Direct App
50,Bengaluru,25-34,3,295,Continental,Late Night,0,0,Zomato
51,Bengaluru,25-34,4,305,Chinese,Lunch,1,1,Zomato
52,Bengaluru,45-54,2,197,North Indian,Lunch,1,0,WhatsApp
53,Bengaluru,18-24,3,358,South Indian,Dinner,1,1,Zomato
54,Bengaluru,18-24,4,142,North Indian,Dinner,1,1,Zomato
55,Bengaluru,18-24,3,171,South Indian,Late Night,1,1,Zomato
56,Bengaluru,18-24,4,432,South Indian,Lunch,1,1,Direct App
57,Bengaluru,25-34,3,345,Fast Food,Dinner,1,0,Swiggy
58,Bengaluru,18-24,4,177,North Indian,Late Night,1,0,Swiggy
59,Bengaluru,25-34,4,222,Healthy,Lunch,0,1,Swiggy
60,Bengaluru,25-34,3,385,South Indian,Dinner,1,0,Zomato
61,Bengaluru,25-34,3,437,Fast Food,Breakfast,0,0,Swiggy
62,Bengaluru,25-34,5,438,South Indian,Lunch,0,0,Direct App
63,Bengaluru,25-34,3,326,Fast Food,Lunch,0,1,Zomato
64,Bengaluru,25-34,3,398,Chinese,Lunch,0,0,WhatsApp
65,Bengaluru,35-44,4,462,South Indian,Dinner,0,1,WhatsApp
66,Bengaluru,35-44,3,345,Fast Food,Late Night,0,0,Direct App
67,Bengaluru,18-24,5,159,South Indian,Late Night,0,1,Zomato
68,Bengaluru,18-24,3,368,Chinese,Lunch,1,0,WhatsApp
69,Bengaluru,35-44,2,349,Fast Food,Dinner,0,0,Zomato
70,Bengaluru,25-34,4,215,Fast Food,Breakfast,1,0,WhatsApp
71,Bengaluru,18-24,4,334,Fast Food,Late Night,0,0,Swiggy
72,Bengaluru,25-34,3,302,Fast Food,Late Night,1,0,WhatsApp
73,Bengaluru,25-34,2,421,Chinese,Dinner,1,0,Zomato
74,Bengaluru,35-44,4,297,South Indian,Dinner,0,1,WhatsApp
75,Bengaluru,25-34,4,423,North Indian,Lunch,0,0,Direct App
76,Bengaluru,35-44,3,460,North Indian,Breakfast,0,0,Zomato
77,Bengaluru,18-24,4,174,Chinese,Dinner,0,0,WhatsApp
78,Bengaluru,25-34,5,432,Continental,Dinner,0,1,WhatsApp
79,Bengaluru,25-34,4,238,South Indian,Late Night,0,1,WhatsApp
80,Bengaluru,25-34,3,223,Healthy,Dinner,1,0,Direct App
81,Bengaluru,25-34,4,427,South Indian,Breakfast,0,0,Zomato
82,Bengaluru,35-44,3,469,Continental,Late Night,0,1,Swiggy
83,Bengaluru,18-24,3,270,Healthy,Dinner,0,0,Direct App
84,Bengaluru,18-24,3,205,Fast Food,Lunch,0,1,WhatsApp
85,Bengaluru,18-24,5,243,North Indian,Breakfast,0,1,Direct App
86,Bengaluru,18-24,5,297,Continental,Breakfast,0,0,Zomato
87,Bengaluru,18-24,6,266,North Indian,Breakfast,0,1,Zomato
88,Bengaluru,25-34,2,317,South Indian,Lunch,0,1,Swiggy
89,Bengaluru,35-44,2,472,South Indian,Lunch,0,1,WhatsApp
90,Bengaluru,25-34,4,308,North Indian,Dinner,0,1,Swiggy
91,Bengaluru,25-34,3,382,Fast Food,Lunch,1,1,Swiggy
92,Bengaluru,25-34,3,386,South Indian,Dinner,0,0,WhatsApp
93,Bengaluru,35-44,4,347,Continental,Lunch,0,1,Zomato
94,Bengaluru,25-34,3,276,Continental,Dinner,0,1,WhatsApp
95,Bengaluru,25-34,4,327,Chinese,Late Night,0,0,Swiggy
96,Bengaluru,18-24,5,383,Fast Food,Dinner,0,1,Direct App
97,Bengaluru,18-24,4,202,North Indian,Late Night,0,1,Direct App
98,Bengaluru,18-24,4,179,Healthy,Dinner,0,0,Zomato
